LABEL,TEXT,URL,EMAIL,PHONE,MainText,message_length,num_named_entities,sentiment_score,TEXT_cleaned,anomaly,cluster
spam,"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, ??3 per pole. UnSub 08718727870.",No,No,yes,,159,2,0.45,"	5 free top polyphonic tones call 087018728737 national rate get a toppoly tune sent every week just text subpoly to 81618 3 per pole unsub 08718727870",1,0
ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ?? leaving earlier or wat mah cos mayb ?? haf to walk v far...,No,No,No,,162,1,0.05,yup he msg me is tat yijue then i tot its my group mate cos we meeting today mah im askin if  leaving earlier or wat mah cos mayb  haf to walk v far,1,0
smishing,"	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!",No,No,yes,,87,0,0.5,"	you have an important customer service announcement call freephone 0800 542 0825 now",1,0
ham,Howz pain?hope u r fine..,No,No,No,,25,0,0.416666667,howz painhope u r fine,1,0
ham,Love it! The girls at the office may wonder why you are smiling but sore...,No,No,No,,75,0,0.625,love it the girls at the office may wonder why you are smiling but sore,1,0
smishing,"	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.",No,No,yes,,112,0,0,"	forwarded from 448712404000please call 08712404000 immediately as there is an urgent message waiting for you",1,0
ham,how's things? Just a quick question.,No,No,No,,36,0,0.333333333,hows things just a quick question,1,0
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,No,No,No,,89,0,-0.5,die i accidentally deleted e msg i suppose 2 put in e sim archive haiz i so sad,1,0
ham,How are you. Its been ages. How's abj,No,No,No,,37,0,0,how are you its been ages hows abj,1,0
ham,As if i wasn't having enough trouble sleeping.,No,No,No,,46,0,-0.1,as if i wasnt having enough trouble sleeping,1,0
ham,Thnx dude. u guys out 2nite?,No,No,No,,28,1,0,thnx dude u guys out 2nite,1,0
spam,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3",No,No,yes,,132,2,0.5,noida commercial wave sec18  silver  11500 psf  gold  12500 psf  logix sec124  8200 psf for best deal call 9711131802 3,1,0
ham,U guys never invite me anywhere :(,No,No,No,,34,0,-0.75,u guys never invite me anywhere ,1,0
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,yes,No,yes,,145,3,0.422619048,hmv bonus special 500 pounds of genuine hmv vouchers to be won just answer 4 easy questions send hmv to 86688 more infowww100percentrealcom,1,0
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",No,No,No,,153,0,0.5625,hey sexy buns  have i told you  i adore you loverboy i hope you remember to thank your sister in law for those meatballs grins  i love you babe,1,0
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",No,No,yes,,149,1,0.32,welcome to ukmobiledate this msg is free giving you free calling to 08719839835 future mgs billed at 150p daily to cancel send go stop to 89123,1,0
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",No,No,No,,154,0,0.1875,by march ending i should be ready but will call you for sure the problem is that my capital never complete how far with you hows work and the ladies,1,0
smishing,You have won a guaranteed ??200 award or even ??1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP,No,No,yes,,133,1,0.4,you have won a guaranteed 200 award or even 1000 cashto claim ur award call free on 08000407166 18 2 stop getstop on 88333 php,1,0
ham,Jokin only lar... :-) depends on which phone my father can get lor...,No,No,No,,69,0,0.25,jokin only lar  depends on which phone my father can get lor,1,0
ham,I thought slide is enough.,No,No,No,,26,0,0,i thought slide is enough,1,0
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,No,No,No,,153,3,0.3125,im gonnamissu so muchi would say il send u a postcard buttheres aboutas much chance of merememberin asthere is ofsi not breakin his contract luv yaxx,1,0
ham,Dude we should go sup again,No,No,No,,27,0,0,dude we should go sup again,1,0
ham,Shopping lor. Them raining mah hard 2 leave orchard.,No,No,No,,52,0,-0.291666667,shopping lor them raining mah hard 2 leave orchard,1,0
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,No,No,No,,110,0,0.525,whats up my own oga left my phone at home and just saw ur messages hope you are good have a great weekend,1,0
ham,Need a coffee run tomo?Can't believe it's that time of week already,No,No,No,,67,0,0,need a coffee run tomocant believe its that time of week already,1,2
ham,Oooh bed ridden ey? What are YOU thinking of?,No,No,No,,45,0,0,oooh bed ridden ey what are you thinking of,1,0
ham,Ok... C ya...,No,No,No,,13,0,0.5,ok c ya,1,0
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O ??250 3 WANT ??800,No,No,No,,160,2,0.025,asked 3mobile if 0870 chatlines inclu in free mins india cust servs sed yes l8er got mega bill 3 dont giv a shit bailiff due in days i o 250 3 want 800,1,0
ham,"Sir, i am waiting for your call.",No,No,No,,32,0,0,sir i am waiting for your call,1,0
ham,Yay! You better not have told that to 5 other girls either.,No,No,No,,59,0,0.1875,yay you better not have told that to 5 other girls either,1,0
ham,Yo theres no class tmrw right?,No,No,No,,30,0,0.285714286,yo theres no class tmrw right,1,0
spam,RCT' THNQ Adrian for U text. Rgds Vatian,No,No,No,,40,1,0,rct thnq adrian for u text rgds vatian,1,0
ham,Not sure I have the stomach for it ...,No,No,No,,38,0,-0.25,not sure i have the stomach for it ,1,0
smishing,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate",No,No,yes,,153,0,0.180555556,this is the 2nd time we have tried 2 contact u u have won the 750 pound prize 2 claim is easy call 08712101359 now only 10p per min btnationalrate,1,0
spam,"	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186",No,No,yes,,163,1,0.361363636,"	enjoy the jamster videosound gold club with your credits for 2 new videosounds2 logosmusicnews get more fun from jamstercouk 16only help call 09701213186",1,0
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.",No,No,No,,44,0,0,yup no need ill jus wait 4 e rain 2 stop,1,0
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),No,No,No,,129,1,0.566666667,ever thought about living a good life with a perfect partner just txt back name and age to join the mobile community 100psms,1,0
smishing,Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,No,No,yes,,156,3,0,dear paytm customer your paytm kyc has expired contact customer care no6200992462 immediately your account will block within 24 hr thank you paytm team,1,0
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",No,No,No,,155,2,0.2,0anetworks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,1,0
ham,"Arms fine, how's Cardiff and uni? ",No,No,No,,34,0,0.416666667,arms fine hows cardiff and uni ,1,0
spam,oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha,No,No,yes,,152,4,0,oor step service for passport assistancepan cardincome tax returnvat returnservice tax return contact ms ons 9650669988 jwala heri mkt paschim viha,1,0
ham,Ok then i will come to ur home after half an hour,No,No,No,,49,0,0.166666667,ok then i will come to ur home after half an hour,1,3
ham,S.i think he is waste for rr..,No,No,No,,30,0,-0.2,si think he is waste for rr,1,0
spam,PL: Battle Royale! Gilchrist Vs Warne today at 8PM. Click http://ipl.onmix.mobi/?src=504 for IPL on mobile. To stop MIX alerts click http://onmix.mobi/alert,yes,No,No,,156,2,0,pl battle royale gilchrist vs warne today at 8pm click httpiplonmixmobisrc504 for ipl on mobile to stop mix alerts click httponmixmobialert,1,0
ham,Dun need to use dial up juz open da browser n surf...,No,No,No,,53,0,0,dun need to use dial up juz open da browser n surf,1,0
ham,You call him and tell now infront of them. Call him now.,No,No,No,,56,0,0,you call him and tell now infront of them call him now,1,0
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",No,No,No,,145,1,0.020454545,new theory argument wins d situation but loses the person so dont argue with ur friends just    kick them amp say im always correct,1,4
ham,"I noe la... U wana pei bf oso rite... K lor, other days den...",No,No,No,,62,0,-0.125,i noe la u wana pei bf oso rite k lor other days den,1,0
ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,No,No,No,,87,0,0,hey you gave them your photo when you registered for driving ah tmr wanna meet at yck,1,0
ham,And by when you're done I mean now,No,No,No,,34,0,-0.3125,and by when youre done i mean now,1,0
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,No,No,No,,118,0,0.35,kind of took it to garage centre part of exhaust needs replacing part ordered n taking it to be fixed tomo morning,1,0
ham,"[?????€?] anyway, many good evenings to u! s",No,No,No,,41,0,0.6875,?? anyway many good evenings to u s,1,0
ham,"Jan is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",No,No,No,,454,3,0.674318182,jan is fast approaching so wish u a very happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy may day happy independence day happy friendshipmotherfatherteacherschildrens day amp happy birthday 4 u happy ganesh festival happy dasara happy diwali happy christmas  ltgt  good mornings afternoons evenings nights rememberi am the first to wishing u all theseyours raj,1,0
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,No,No,No,,115,0,0.05,really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf 2 study ,1,0
ham,Jus finish bathing...,No,No,No,,21,0,0,jus finish bathing,1,0
ham,"I think your mentor is , but not 100 percent sure.",No,No,No,,50,0,0.5,i think your mentor is  but not 100 percent sure,1,0
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,No,No,No,,63,0,-0.2,is your hamster dead hey so tmr i meet you at 1pm orchard mrt,1,0
ham,Ok set let u noe e details later...,No,No,No,,35,0,0.25,ok set let u noe e details later,1,0
ham,Ok..lets find out???,No,No,No,,20,0,0,oklets find out,1,0
ham,May i call You later Pls,No,No,No,,24,0,0,may i call you later pls,1,0
smishing,"	Please CALL 08712402779 immediately as there is an urgent message waiting for you",No,No,yes,,82,0,0,"	please call 08712402779 immediately as there is an urgent message waiting for you",1,0
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",No,No,No,,78,1,0,my mobile numberpls sms ur mail idconvey regards to achanammarakheshqatar,1,0
ham,Lol alright i was thinkin that too haha,No,No,No,,39,0,0.5,lol alright i was thinkin that too haha,1,0
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,No,No,yes,,114,1,0.318181818,87077 kick off a new season with 2wks free goals  news to ur mobile txt ur club name to 87077 eg villa to 87077,1,0
ham,Ok pa. Nothing problem:-),No,No,No,,25,0,0.5,ok pa nothing problem,1,0
ham,"Alright omw, gotta change my order to a half8th",No,No,No,,47,0,0,alright omw gotta change my order to a half8th,1,0
ham,"Aight, see you in a bit",No,No,No,,23,0,0,aight see you in a bit,1,0
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,No,No,yes,,158,2,-0.078125,i dont know u and u dont know me send chat to 86688 now and lets find each other only 150pmsg rcvd hgsuite3422landsroww1j6hl ldn 18 years or over,1,0
ham,JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,No,No,No,,99,1,0.125,juswoke up in a bed on a boatin the docks slept wid 25 year old spinout giv u da gossip l8r xxx,1,0
ham,"Actually , just do whatever, do find an excuse to be in tampa at some point before january though",No,No,No,,97,0,-0.025,actually  just do whatever do find an excuse to be in tampa at some point before january though,1,0
smishing,"Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help.",No,No,yes,,144,2,0.2375,dear customer due to bvn system upgrade your atm card has been deactivated to reactivate kindly call customer care on 08065635084 for help,1,5
ham,Are you at work right now ?,No,No,No,,27,0,0.285714286,are you at work right now ,1,6
ham,At 4. Let's go to bill millers,No,No,No,,30,0,0,at 4 lets go to bill millers,1,0
ham,K..u also dont msg or reply to his msg..,No,No,No,,40,0,0,ku also dont msg or reply to his msg,1,0
ham,If india win or level series means this is record:),No,No,No,,51,1,0.65,if india win or level series means this is record,1,0
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",No,No,No,,145,0,0.12,living is very simple loving is also simple laughing is too simple winning is tooo simple but being simple is very difficult ,1,0
ham,Wot u up 2 u weirdo?,No,No,No,,20,0,0,wot u up 2 u weirdo,1,0
smishing,"	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery",No,No,yes,,145,1,0.192424242,"	want a new video phone 750 anytime any network mins half price line rental free text for 3 months reply or call 08000930705 for free delivery",1,0
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,No,No,No,,158,2,0.43,sometimes heart remembrs someone very much forgets someone soon bcoz heart will not like everyone but liked ones will be remembered everytime bslvyl,1,0
smishing,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,No,No,yes,,147,0,-0.021428571,u have a secret admirer reveal who thinks u r so special call 09065174042 to opt out reply reveal stop 150 per msg recd cust care 07821230901,1,7
smishing,U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,No,No,yes,,119,1,0.466666667,u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,1,0
smishing,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,yes,No,yes,,129,1,0,here is your discount code rp176781 to stop further messages reply stop wwwregalportfoliocouk customer services 08717205546,1,0
ham,I attended but nothing is there.,No,No,No,,32,0,0,i attended but nothing is there,1,0
smishing,"	We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow",No,No,yes,,150,0,0.268181818,"	we tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow",1,0
ham,Good morning pookie pie! Lol hope I didn't wake u up,No,No,No,,52,1,0.8375,good morning pookie pie lol hope i didnt wake u up,1,0
smishing,Congratulations ur awarded either ??500 of CD gift vouchers & Free entry 2 our ??100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com,yes,No,yes,,133,0,0.4,congratulations ur awarded either 500 of cd gift vouchers  free entry 2 our 100 weekly draw txt music to 87066 tncs wwwldewcom,1,0
smishing,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716 ",No,No,yes,,107,1,0.5,free2day sexy st georges day pic of jordantxt pic to 89080 dont miss out pocketbabecouk 0870241182716 ,1,0
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",No,No,No,,158,0,0,i hope your alright babe i worry that you might have felt a bit desparate when you learned the job was a fake  i am here waiting when you come back my love,1,0
ham,Does uncle timi help in clearing cars,No,No,No,,37,0,0,does uncle timi help in clearing cars,1,0
ham,"Greetings me, ! Consider yourself excused.",No,No,No,,42,0,0,greetings me  consider yourself excused,1,0
ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",No,No,No,,71,1,0.8,tunde how are you doing this is just wishing you a great day abiola,1,0
smishing,"URGENT! Your Mobile No. was awarded ??2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",No,No,yes,,157,0,0,urgent your mobile no was awarded 2000 bonus caller prize on 5903 this is our final try to contact u call from landline 09064019788 box42wr29c 150ppm,1,0
ham,Babe ? I lost you ... Will you try rebooting ?,No,No,No,,46,1,0,babe  i lost you  will you try rebooting ,1,0
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,No,No,No,,96,0,0.245454545,im ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud,1,0
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,No,No,No,,96,1,0,i thk u dun haf 2 hint in e forum already lor cos i told ron n darren is going 2 tell shuhui,1,0
ham,Hey... Very inconvenient for your sis a not huh?,No,No,No,,48,0,-0.78,hey very inconvenient for your sis a not huh,1,0
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,No,No,No,,88,0,0.078787879,busy here trying to finish for new year i am looking forward to finally meeting you,1,0
smishing,"	FREE entry into our ??250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.",yes,No,yes,,124,1,0.4,"	free entry into our 250 weekly comp just send the word enter to 84128 now 18 tc wwwtextcompcom cust care 08712405020",1,0
ham,Will you be here for food,No,No,No,,25,0,0,will you be here for food,1,0
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!!",No,No,No,,162,1,0,japanese proverb if one can do it u too can do it if none can do itu must do it indian version if one can do it let him do it if none can do itleave it,1,0
ham,"Yes, princess. Toledo.",No,No,No,,22,1,0,yes princess toledo,1,0
ham,Okay same with me. Well thanks for the clarification,No,No,No,,52,0,0.233333333,okay same with me well thanks for the clarification,1,0
ham,"Not sure yet, still trying to get a hold of him",No,No,No,,47,0,-0.25,not sure yet still trying to get a hold of him,1,0
ham,I'm okay. Chasing the dream. What's good. What are you doing next.,No,No,No,,66,0,0.4,im okay chasing the dream whats good what are you doing next,1,0
ham,When did i use soc... I use it only at home... ?? dunno how 2 type it in word ar...,No,No,No,,83,0,0,when did i use soc i use it only at home  dunno how 2 type it in word ar,1,0
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",yes,No,yes,,160,0,0.1,gr8 poly tones 4 all mobs direct 2u rply with poly title to 8007 eg poly breathe1 titles crazyin sleepingwith finest ymca getzedcouk pobox365o4w45wq 300p,1,0
ham,Lol I would but despite these cramps I like being a girl.,No,No,No,,57,0,0.8,lol i would but despite these cramps i like being a girl,1,0
ham,R we still meeting 4 dinner tonight?,No,No,No,,36,0,0,r we still meeting 4 dinner tonight,1,0
smishing,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,No,No,yes,,82,0,0,please call 08712402902 immediately as there is an urgent message waiting for you,1,0
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,No,No,yes,,154,2,0,dear 0776xxxxxxx uve been invited to xchat this is our final attempt to contact u txt chat to 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18yrs,1,0
