LABEL,TEXT,URL,EMAIL,PHONE
smishing,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc,yes,No,No
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,No,No,No
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",No,No,No
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",No,No,No
ham,Ok..let me knw,No,No,No
ham,You are a very very very very bad girl. Or lady.,No,No,No
smishing,"	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app",No,No,yes
ham,K then 2marrow are you coming to class.,No,No,No
ham,Kallis wont bat in 2nd innings.,No,No,No
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�,No,No,No
spam,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,No,No,No
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",No,No,No
ham,Every day i use to sleep after  &lt;#&gt;  so only.,No,No,No
ham,"Sorry, have urgent work..",No,No,No
ham,Good Morning plz call me sir..I have an urgent work..,No,No,No
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,No,No,No
ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",No,No,No
ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,No,No,No
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),No,No,No
spam,"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",No,No,yes
ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,No,No,No
ham,You need to get up. Now.,No,No,No
smishing,"	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!",No,No,yes
ham,Howz pain?hope u r fine..,No,No,No
ham,Love it! The girls at the office may wonder why you are smiling but sore...,No,No,No
smishing,"	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.",No,No,yes
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,No,No,No
ham,how's things? Just a quick question.,No,No,No
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,No,No,No
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",No,No,No
ham,Sorry i missed your call. Can you please call back.,No,No,No
ham,How are you. Its been ages. How's abj,No,No,No
ham,As if i wasn't having enough trouble sleeping.,No,No,No
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,No,No,No
ham,Thnx dude. u guys out 2nite?,No,No,No
spam,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3",No,No,yes
ham,So are you guys asking that i get that slippers again or its gone with last year,No,No,No
ham,U guys never invite me anywhere :(,No,No,No
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,yes,No,yes
ham,My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,No,No,No
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",No,No,No
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",No,No,yes
ham,"Velly good, yes please!",No,No,No
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",No,No,No
smishing,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP,No,No,yes
ham,Jokin only lar... :-) depends on which phone my father can get lor...,No,No,No
ham,I thought slide is enough.,No,No,No
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,No,No,No
ham,Dude we should go sup again,No,No,No
smishing,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",No,No,yes
ham,Shopping lor. Them raining mah hard 2 leave orchard.,No,No,No
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,No,No,No
ham,Need a coffee run tomo?Can't believe it's that time of week already,No,No,No
ham,Oooh bed ridden ey? What are YOU thinking of?,No,No,No
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.,No,No,No
ham,Ok... C ya...,No,No,No
ham,Are you this much buzy�.I don�t think so,No,No,No
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,No,No,No
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,No,No,No
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,No,No,No
ham,Ha ha ha good joke. Girls are situation seekers.,No,No,No
ham,"Sir, i am waiting for your call.",No,No,No
ham,Yay! You better not have told that to 5 other girls either.,No,No,No
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.,No,No,No
ham,Yo theres no class tmrw right?,No,No,No
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""",No,No,No
spam,RCT' THNQ Adrian for U text. Rgds Vatian,No,No,No
ham,Not sure I have the stomach for it ...,No,No,No
smishing,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate",No,No,yes
spam,"	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186",No,No,yes
ham,I'll let you know when it kicks in,No,No,No
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.",No,No,No
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),No,No,No
smishing,Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,No,No,yes
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",No,No,No
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,No,No,No
ham,"Arms fine, how's Cardiff and uni? ",No,No,No
spam,oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha,No,No,yes
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),No,No,No
ham,Ok then i will come to ur home after half an hour,No,No,No
ham,ITS A LAPTOP TAKE IT WITH YOU.,No,No,No
ham,S.i think he is waste for rr..,No,No,No
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,No,No,No
spam,PL: Battle Royale! Gilchrist Vs Warne today at 8PM. Click http://ipl.onmix.mobi/?src=504 for IPL on mobile. To stop MIX alerts click http://onmix.mobi/alert,yes,No,No
ham,Dun need to use dial up juz open da browser n surf...,No,No,No
ham,You call him and tell now infront of them. Call him now.,No,No,No
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",No,No,No
ham,"I noe la... U wana pei bf oso rite... K lor, other days den...",No,No,No
ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,No,No,No
ham,And by when you're done I mean now,No,No,No
ham,I dont want to hear anything,No,No,No
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,No,No,No
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",No,No,No
ham,"[…] anyway, many good evenings to u! s",No,No,No
ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.,No,No,No
ham,Ü takin linear algebra today?,No,No,No
ham,"Jan is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",No,No,No
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,No,No,No
ham,Jus finish bathing...,No,No,No
ham,"I think your mentor is , but not 100 percent sure.",No,No,No
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,No,No,No
ham,Ok set let u noe e details later...,No,No,No
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,No,No,No
ham,Ok..lets find out�,No,No,No
ham,You busy or can I come by at some point and figure out what we're doing tomorrow,No,No,No
ham,Thats cool. I want to please you...,No,No,No
ham,May i call You later Pls,No,No,No
smishing,"	Please CALL 08712402779 immediately as there is an urgent message waiting for you",No,No,yes
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",yes,yes,yes
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",No,No,No
ham,Good Morning plz call me sir,No,No,No
ham,Lol alright i was thinkin that too haha,No,No,No
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,No,No,yes
ham,Ok pa. Nothing problem:-),No,No,No
ham,"Alright omw, gotta change my order to a half8th",No,No,No
ham,Sorry about that this is my mates phone and i didnt write it love Kate,No,No,No
ham,"Aight, see you in a bit",No,No,No
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,No,No,yes
spam,"Plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking  starts with 30000/-onwards or full down.instalments also.call 9213241451.",No,No,yes
ham,JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,No,No,No
ham,"Actually , just do whatever, do find an excuse to be in tampa at some point before january though",No,No,No
smishing,"Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help.",No,No,yes
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke,No,No,No
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,No,No,No
ham,Are you at work right now ?,No,No,No
smishing,"	You have 1 new voicemail. Please call 0871918154.",No,No,yes
ham,At 4. Let's go to bill millers,No,No,No
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",No,No,No
ham,K..u also dont msg or reply to his msg..,No,No,No
ham,If india win or level series means this is record:),No,No,No
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",No,No,No
ham,Wot u up 2 u weirdo?,No,No,No
smishing,"	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery",No,No,yes
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,No,No,No
ham,Hmmm.but you should give it on one day..,No,No,No
smishing,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,No,No,yes
ham,Just do what ever is easier for you,No,No,No
ham,And whenever you and i see we can still hook up too.,No,No,No
smishing,U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,No,No,yes
smishing,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,yes,No,yes
ham,I attended but nothing is there.,No,No,No
smishing,"	We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow",No,No,yes
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",No,No,No
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",No,No,No
ham,Good morning pookie pie! Lol hope I didn't wake u up,No,No,No
smishing,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com,yes,No,yes
ham,Do you know where my lab goggles went,No,No,No
smishing,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716 ",No,No,yes
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",No,No,No
ham,Is fujitsu s series lifebook good?,No,No,No
ham,Does uncle timi help in clearing cars,No,No,No
ham,"Greetings me, ! Consider yourself excused.",No,No,No
ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",No,No,No
ham,Hahaha..use your brain dear..that will work here�,No,No,No
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,No,No,No
smishing,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",No,No,yes
ham,Ill be there on  &lt;#&gt;  ok.,No,No,No
ham,Then she buying today? Ü no need to c meh...,No,No,No
ham,Babe ? I lost you ... Will you try rebooting ?,No,No,No
smishing,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,No,No,yes
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,No,No,No
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,No,No,No
ham,Hey... Very inconvenient for your sis a not huh?,No,No,No
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,No,No,No
ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,No,No,No
smishing,"	FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.",yes,No,yes
ham,Will you be here for food,No,No,No
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!!",No,No,No
ham,"Yes, princess. Toledo.",No,No,No
ham,K..give back my thanks.,No,No,No
ham,Okay same with me. Well thanks for the clarification,No,No,No
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",No,No,No
ham,"Not sure yet, still trying to get a hold of him",No,No,No
ham,I'm okay. Chasing the dream. What's good. What are you doing next.,No,No,No
ham,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,No,No,No
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",yes,No,yes
ham,Lol I would but despite these cramps I like being a girl.,No,No,No
ham,R we still meeting 4 dinner tonight?,No,No,No
smishing,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,No,No,yes
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",No,No,No
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,No,No,yes
ham,Have you not finished work yet or something?,No,No,No
ham,"I'm in a meeting, call me later at 4",No,No,No
smishing,"	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",No,No,yes
ham,Oh my God. I'm almost home,No,No,No
smishing,My name is Theresa & I have 7.3milion Dollar to transfer to you for charity work to help the poor ones in ur place india. Contact memea.theresamarie@gmail.com,No,yes,No
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,No,No,yes
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... ",No,No,No
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",No,No,No
ham,Then ur physics get a-?,No,No,No
ham,This single single answers are we fighting? Plus i said am broke and you didnt reply,No,No,No
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,No,No,No
ham,U too...,No,No,No
ham,Your account has been refilled successfully by INR 100.00; . Your KeralaCircle prepaid account balance is Rs.101.00 ; . Your Transaction ID is KR 3567 .,No,No,No
ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,No,No,No
ham,No current and food here. I am alone also,No,No,No
ham,Hmm thinking lor...,No,No,No
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,No,No,No
smishing,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,No,No,yes
ham,I think chennai well settled?,No,No,No
ham,Hi happy birthday. Hi hi hi hi hi hi hi,No,No,No
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,No,No,No
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,No,No,No
ham,"That's very rude, you on campus?",No,No,No
ham,Did u see what I posted on your Facebook?,No,No,No
ham,He is world famamus....,No,No,No
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,No,No,yes
smishing,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,No,No,yes
ham,Aight ill get on fb in a couple minutes,No,No,No
ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",No,No,No
smishing,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701462. Claim code KL345.,No,No,yes
ham,If u sending her home first it's ok lor. I'm not ready yet.,No,No,No
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.,No,No,No
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,No,No,No
ham,"Yeah, probably earlier than that",No,No,No
ham,If you r at home then I am coming within 20 mins,No,No,No
ham,Printer is cool. I mean groovy. Wine is groovying,No,No,No
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,No,No,No
ham,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date.",No,No,No
ham,Some are lasting as much as 2 hours. You might get lucky.,No,No,No
ham,Package all your programs well,No,No,No
ham,He didn't see his shadow. We get an early spring yay,No,No,No
smishing,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only. ",No,No,yes
smishing,"Please call our customer service representative on 6200992462 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.8,00,000 FL1PKART TEAM",No,No,yes
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,yes,No,No
ham,"Sure, whenever you show ",No,No,No
ham,Oh god. I'm gonna Google nearby cliffs now.,No,No,No
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,No,No,No
ham,....photoshop makes my computer shut down.,No,No,No
ham,Hey you told your name to gautham ah?,No,No,No
ham,New car and house for my parents.:)i have only new job in hand:),No,No,No
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way,No,No,No
ham,Hey what are you doing. Y no reply pa..,No,No,No
ham,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,No,No,No
ham,Hi my email address has changed now it is,No,No,No
ham,No plm i will come da. On the way.,No,No,No
smishing,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",yes,No,No
ham,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,No,No,No
ham,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,No,No,No
ham,Hey are we going for the lo lesson or gym?,No,No,No
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur loved ones�.",No,No,No
ham,Where in abj are you serving. Are you staying with dad or alone.,No,No,No
ham,Nope i'm not drivin... I neva develop da photos lei...,No,No,No
ham,Home so we can always chat,No,No,No
ham,Ok. C u then.,No,No,No
smishing,YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd,No,No,yes
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc",No,No,No
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,No,No,No
ham,Pls dont forget to study,No,No,No
ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,No,No,No
ham,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,No,No,No
ham,Are you willing to go for aptitude class.,No,No,No
ham,So wat's da decision?,No,No,No
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",No,No,No
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,No,No,No
ham,Ok... But bag again..,No,No,No
ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.,No,No,No
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,No,No,No
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",No,No,No
